Date,Time,Load
10/25/2019,12:00:00,2076.58
10/25/2019,13:00:00,2098.58
10/25/2019,14:00:00,2099.95
10/25/2019,15:00:00,2130.79
10/25/2019,16:00:00,2135.62
10/25/2019,17:00:00,2192.81
10/25/2019,18:00:00,2283.40
10/25/2019,19:00:00,2448.68
10/25/2019,20:00:00,2404.00
10/25/2019,21:00:00,2432.21
10/25/2019,22:00:00,2439.50
10/25/2019,23:00:00,2430.04
10/25/2019,0:00:00,2351.47
10/24/2019,1:00:00,2068.97
10/24/2019,2:00:00,2058.61
10/24/2019,3:00:00,2050.76
10/24/2019,4:00:00,2017.93
10/24/2019,5:00:00,2040.59
10/24/2019,6:00:00,2121.14
10/24/2019,7:00:00,2051.14
10/24/2019,8:00:00,1938.17
10/24/2019,9:00:00,2008.14
10/24/2019,10:00:00,1989.92
10/24/2019,11:00:00,1926.49
10/24/2019,12:00:00,1931.08
10/24/2019,13:00:00,1972.85
10/24/2019,14:00:00,2045.36
10/24/2019,15:00:00,2083.87
10/24/2019,16:00:00,2113.06
10/24/2019,17:00:00,2132.92
10/24/2019,18:00:00,2304.02
10/24/2019,19:00:00,2547.87
10/24/2019,20:00:00,2593.00
10/24/2019,21:00:00,2557.00
10/24/2019,22:00:00,2487.56
10/24/2019,23:00:00,2376.16
10/24/2019,0:00:00,2257.99
10/23/2019,1:00:00,2157.52
10/23/2019,2:00:00,2093.05
10/23/2019,3:00:00,2088.93
10/23/2019,4:00:00,2076.58
10/23/2019,5:00:00,2103.07
10/23/2019,6:00:00,2179.00
10/23/2019,7:00:00,2107.00
10/23/2019,8:00:00,1928.67
10/23/2019,9:00:00,1951.94
10/23/2019,10:00:00,2000.95
10/23/2019,11:00:00,2019.77
10/23/2019,12:00:00,1997.45
10/23/2019,13:00:00,1994.18
10/23/2019,14:00:00,2040.82
10/23/2019,15:00:00,2074.50
10/23/2019,16:00:00,1995.22
10/23/2019,17:00:00,2044.56
10/23/2019,18:00:00,2139.92
10/23/2019,19:00:00,2333.87
10/23/2019,20:00:00,2376.00
10/23/2019,21:00:00,2382.59
10/23/2019,22:00:00,2345.08
10/23/2019,23:00:00,2272.94
10/23/2019,0:00:00,2122.28
10/22/2019,1:00:00,2170.15
10/22/2019,2:00:00,2111.26
10/22/2019,3:00:00,2081.32
10/22/2019,4:00:00,2053.12
